Fixture ID,League,League Logo,League Flag,League Country,Date,Match Time,Home Team,Home Logo,Away Team,Away Logo,Home Score,Away Score,Status,Elapsed,Extra Time
1518134,V.League 2,https://media.api-sports.io/football/leagues/637.png,https://media.api-sports.io/flags/vn.svg,Vietnam,2026-04-24,09:00,Dong Thap,https://media.api-sports.io/football/teams/9164.png,Sanna Khanh Hoa,https://media.api-sports.io/football/teams/3677.png,,,NS,,
1517513,New South Wales NPL,https://media.api-sports.io/football/leagues/192.png,https://media.api-sports.io/flags/au.svg,Australia,2026-04-24,09:30,Sydney FC U23,https://media.api-sports.io/football/teams/3773.png,Sutherland Sharks,https://media.api-sports.io/football/teams/3771.png,,,NS,,
1521914,Victoria NPL,https://media.api-sports.io/football/leagues/195.png,https://media.api-sports.io/flags/au.svg,Australia,2026-04-24,09:30,Heidelberg United,https://media.api-sports.io/football/teams/3803.png,Avondale,https://media.api-sports.io/football/teams/3798.png,,,NS,,
1521915,Victoria NPL,https://media.api-sports.io/football/leagues/195.png,https://media.api-sports.io/flags/au.svg,Australia,2026-04-24,09:30,Green Gully,https://media.api-sports.io/football/teams/3802.png,Preston Lions,https://media.api-sports.io/football/teams/19705.png,,,NS,,
1522088,Victoria NPL 2,https://media.api-sports.io/football/leagues/836.png,https://media.api-sports.io/flags/au.svg,Australia,2026-04-24,09:30,Brunswick City,https://media.api-sports.io/football/teams/16780.png,Langwarrin,https://media.api-sports.io/football/teams/16783.png,,,NS,,
1524017,Queensland NPL,https://media.api-sports.io/football/leagues/482.png,https://media.api-sports.io/flags/au.svg,Australia,2026-04-24,09:30,Olympic,https://media.api-sports.io/football/teams/10220.png,Magic United,https://media.api-sports.io/football/teams/25449.png,,,NS,,
1528412,Premier League,https://media.api-sports.io/football/leagues/398.png,https://media.api-sports.io/flags/bd.svg,Bangladesh,2026-04-24,09:30,Abahani,https://media.api-sports.io/football/teams/5009.png,Fortis,https://media.api-sports.io/football/teams/20780.png,,,NS,,
1528413,Premier League,https://media.api-sports.io/football/leagues/398.png,https://media.api-sports.io/flags/bd.svg,Bangladesh,2026-04-24,09:30,Arambagh,https://media.api-sports.io/football/teams/5011.png,Rahmatgonj MFS,https://media.api-sports.io/football/teams/5017.png,,,NS,,
1537433,Capital Territory NPL,https://media.api-sports.io/football/leagues/189.png,https://media.api-sports.io/flags/au.svg,Australia,2026-04-24,09:30,Canberra FC,https://media.api-sports.io/football/teams/1448.png,Cooma Tigers FC,https://media.api-sports.io/football/teams/1452.png,,,NS,,
1537434,Capital Territory NPL,https://media.api-sports.io/football/leagues/189.png,https://media.api-sports.io/flags/au.svg,Australia,2026-04-24,09:30,Monaro Panthers,https://media.api-sports.io/football/teams/1453.png,Canberra Olympic,https://media.api-sports.io/football/teams/1450.png,,,NS,,
