fixture_id,match_time
1394673,13:00:00
1394674,17:00:00
1423032,18:00:00
1445910,11:00:00
1451598,16:00:00
1458153,16:30:00
1458154,11:30:00
1458158,11:00:00
1459055,16:00:00
1459057,10:30:00
1462478,17:30:00
1462482,16:00:00
1492175,22:00:00
1512242,18:00:00
1512254,18:00:00
1519512,16:00:00
1519516,16:00:00
1521308,14:00:00
1527461,10:30:00
1527462,13:00:00
1528342,20:00:00
1528343,20:00:00
1528345,20:00:00
1528346,17:45:00
1528349,17:45:00
1528358,17:45:00
1528361,20:00:00
1528362,20:00:00
1528363,20:00:00
1528364,17:45:00
1528365,17:45:00
1530937,19:00:00
